"Entry","Rep","predicted.value","std.error","status"
"BB14-5p","5",62.5745675517453,4.76287441249244,"Estimable"
"BB14-6b","1",67.7230924647868,3.4587740456531,"Estimable"
"BB14-6b","2",73.3345489642712,3.46294900114351,"Estimable"
"BB14-6b","3",73.1396373766129,3.53802639378147,"Estimable"
"BB14-6b","4",80.590852760713,3.57403788516386,"Estimable"
"BB14-6b","5",67.9010075088515,4.81786605812568,"Estimable"
"BB14-7p","1",46.7210758217472,4.04995922212421,"Estimable"
"BB14-7p","2",52.3325323212317,3.98014026029561,"Estimable"
"BB14-7p","3",52.1376207335733,4.14205083269339,"Estimable"
"BB14-7p","4",59.5888361176735,4.20951516217675,"Estimable"
"BB14-7p","5",46.8989908658119,5.23350326381438,"Estimable"
"BB14-8b","1",48.822547312912,4.39019397003225,"Estimable"
"BB14-8b","2",54.4340038123964,4.50651412874992,"Estimable"
"BB14-8b","3",54.239092224738,4.40512896237029,"Estimable"
"BB14-8b","4",61.6903076088382,4.47018114449058,"Estimable"
"BB14-8b","5",49.0004623569767,5.35504903275517,"Estimable"
"BB14-9p","1",63.4485840483342,3.6279920276894,"Estimable"
"BB14-9p","2",69.0600405478187,3.56746131906348,"Estimable"
"BB14-9p","3",68.8651289601603,3.60051998663874,"Estimable"
"BB14-9p","4",76.3163443442605,3.589408717543,"Estimable"
"BB14-9p","5",63.6264990923989,4.96699171559434,"Estimable"
"CT3-08","1",20.2644087409494,3.60023126127167,"Estimable"
"CT3-08","2",25.8758652404339,3.56325113658919,"Estimable"
"CT3-08","3",25.6809536527755,3.61806491847573,"Estimable"
"CT3-08","4",33.1321690368757,3.60665744186734,"Estimable"
"CT3-08","5",20.4423237850142,4.87956501201994,"Estimable"
"Vernal","1",20.5904153657957,4.27674337544234,"Estimable"
"Vernal","2",26.2018718652802,4.41608062307639,"Estimable"
"Vernal","3",26.0069602776218,4.40457947425577,"Estimable"
"Vernal","4",33.458175661722,4.33471984428912,"Estimable"
"Vernal","5",20.7683304098605,3.34738379483914,"Estimable"
