"geno_id_Meng","year","predicted.value","std.error","status"
"11_29-Cross BB14-1-a","23",7.99999999999999,1.18236334506035,"Estimable"
"11_29-Cross BB14-1-a","22",6.44482466982419,1.18440277773192,"Estimable"
"11_3-Cross BB14-4b","23",10,0.854219847625917,"Estimable"
"11_3-Cross BB14-4b","22",8.71066006497875,0.854339454531207,"Estimable"
"11_30-Cross BB14-1-a","23",9.7870039689268,0.854219847625917,"Estimable"
"11_30-Cross BB14-1-a","22",8.231828638751,0.854339454531207,"Estimable"
"11_31-Cross BB14-5p","23",7.7446668213823,0.854219847625917,"Estimable"
"11_31-Cross BB14-5p","22",6.1894914912065,0.854339454531207,"Estimable"
"11_32-Cross BB14-5p","23",9.7870039689268,0.854219847625917,"Estimable"
"11_32-Cross BB14-5p","22",8.231828638751,0.854339454531207,"Estimable"
"11_33-Cross BB14-5p","23",9.26583539515455,0.854219847625917,"Estimable"
"11_33-Cross BB14-5p","22",7.71066006497875,0.854339454531207,"Estimable"
"11_34-Cross BB14-5p","23",8.30817254269904,0.854219847625917,"Estimable"
"11_34-Cross BB14-5p","22",6.75299721252323,0.854339454531207,"Estimable"
"11_36-Cross BB14-5p","23",9.7870039689268,0.854219847625917,"Estimable"
"11_36-Cross BB14-5p","22",8.231828638751,0.854339454531207,"Estimable"
"11_38-Cross BB14-5p","23",3.78700396892679,0.854219847625917,"Estimable"
"11_38-Cross BB14-5p","22",2.23182863875099,0.854339454531207,"Estimable"
"11_39-Cross BB14-5p","23",7.78700396892679,0.854219847625917,"Estimable"
"11_39-Cross BB14-5p","22",6.23182863875099,0.854339454531207,"Estimable"
"11_4-Cross BB14-4b","23",9.74466682138231,0.854219847625917,"Estimable"
"11_4-Cross BB14-4b","22",8.18949149120651,0.854339454531207,"Estimable"
"11_40-Cross BB14-5p","23",8.78700396892679,0.854219847625917,"Estimable"
"11_40-Cross BB14-5p","22",7.23182863875099,0.854339454531207,"Estimable"
"11_5-Cross BB14-4b","23",10,0.854219847625917,"Estimable"
"11_5-Cross BB14-4b","22",8.71066006497875,0.854339454531207,"Estimable"
"11_6-Cross BB14-4b","23",9.7446668213823,0.854219847625917,"Estimable"
"11_6-Cross BB14-4b","22",8.1894914912065,0.854339454531207,"Estimable"
"11_7-Cross BB14-4b","23",7.30817254269903,0.854219847625917,"Estimable"
"11_7-Cross BB14-4b","22",5.75299721252323,0.854339454531207,"Estimable"
"11_8-Cross BB14-4b","23",7.78700396892679,0.854219847625917,"Estimable"
"11_8-Cross BB14-4b","22",6.23182863875098,0.854339454531207,"Estimable"
"11_9-Cross BB14-4b","23",10,0.854219847625917,"Estimable"
"11_9-Cross BB14-4b","22",8.71066006497875,0.854339454531207,"Estimable"
"12_1-Cross BB14-1-a","23",4.30817254269903,0.854219847625917,"Estimable"
"12_1-Cross BB14-1-a","22",2.75299721252323,0.854339454531207,"Estimable"
"12_10-Cross BB14-1-a","23",7.82934111647128,0.854219847625917,"Estimable"
"12_10-Cross BB14-1-a","22",6.27416578629548,0.854339454531207,"Estimable"
"12_11-Parent BB Ent 8","23",8.30817254269904,0.854219847625917,"Estimable"
"12_11-Parent BB Ent 8","22",6.75299721252323,0.854339454531207,"Estimable"
"12_12-Parent BB Ent 8","23",7.30817254269903,0.854219847625917,"Estimable"
"12_12-Parent BB Ent 8","22",5.75299721252323,0.854339454531207,"Estimable"
"12_13-Parent BB Ent 8","23",5.78700396892679,0.854219847625917,"Estimable"
"12_13-Parent BB Ent 8","22",4.23182863875098,0.854339454531207,"Estimable"
"12_14-Parent BB Ent 8","23",8.7446668213823,0.854219847625917,"Estimable"
"12_14-Parent BB Ent 8","22",7.1894914912065,0.854339454531207,"Estimable"
"12_15-Parent BB Ent 8","23",8.26583539515455,0.854219847625917,"Estimable"
"12_15-Parent BB Ent 8","22",6.71066006497874,0.854339454531207,"Estimable"
"12_16-Parent BB Ent 8","23",10,0.854219847625917,"Estimable"
"12_16-Parent BB Ent 8","22",8.71066006497875,0.854339454531207,"Estimable"
"12_17-Parent BB Ent 8","23",7.78700396892679,0.854219847625917,"Estimable"
"12_17-Parent BB Ent 8","22",6.23182863875098,0.854339454531207,"Estimable"
"12_18-Parent BB Ent 8","23",9.26583539515455,0.854219847625917,"Estimable"
"12_18-Parent BB Ent 8","22",7.71066006497875,0.854339454531207,"Estimable"
"12_2-Cross BB14-1-a","23",9.26583539515455,0.854219847625917,"Estimable"
"12_2-Cross BB14-1-a","22",7.71066006497875,0.854339454531207,"Estimable"
"12_20-Parent BB Ent 8","23",2.30817254269903,0.854219847625917,"Estimable"
"12_20-Parent BB Ent 8","22",0.752997212523232,0.854339454531207,"Estimable"
"12_21-Cross BB14-2-a","23",8.7446668213823,0.854219847625917,"Estimable"
"12_21-Cross BB14-2-a","22",7.1894914912065,0.854339454531207,"Estimable"
"12_22-Cross BB14-2-a","23",9.26583539515455,0.854219847625917,"Estimable"
"12_22-Cross BB14-2-a","22",7.71066006497875,0.854339454531207,"Estimable"
"12_23-Cross BB14-2-a","23",5.87167826401577,0.854219847625917,"Estimable"
"12_23-Cross BB14-2-a","22",4.31650293383997,0.854339454531207,"Estimable"
"12_24-Cross BB14-2-a","23",7.35050969024353,0.854219847625917,"Estimable"
"12_24-Cross BB14-2-a","22",5.79533436006772,0.854339454531207,"Estimable"
"12_25-Cross BB14-2-a","23",10,0.854219847625917,"Estimable"
"12_25-Cross BB14-2-a","22",8.71066006497875,0.854339454531207,"Estimable"
"12_27-Cross BB14-2-a","23",9.7870039689268,0.854219847625917,"Estimable"
"12_27-Cross BB14-2-a","22",8.231828638751,0.854339454531207,"Estimable"
"12_28-Cross BB14-2-a","23",6.87167826401577,0.854219847625917,"Estimable"
"12_28-Cross BB14-2-a","22",5.31650293383997,0.854339454531207,"Estimable"
"12_29-Cross BB14-2-a","23",7.78700396892679,0.854219847625917,"Estimable"
"12_29-Cross BB14-2-a","22",6.23182863875099,0.854339454531207,"Estimable"
"12_3-Cross BB14-1-a","23",9.26583539515455,0.854219847625917,"Estimable"
"12_3-Cross BB14-1-a","22",7.71066006497875,0.854339454531207,"Estimable"
"12_30-Cross BB14-2-a","23",10,0.854219847625917,"Estimable"
"12_30-Cross BB14-2-a","22",8.71066006497875,0.854339454531207,"Estimable"
"12_31-Parent BB Ent 8","23",2.5551753301758,1.23548221880245,"Estimable"
"12_31-Parent BB Ent 8","22",0.999999999999998,1.23352724040462,"Estimable"
"12_32-Parent BB Ent 8","23",9.26583539515455,0.854219847625917,"Estimable"
"12_32-Parent BB Ent 8","22",7.71066006497875,0.854339454531207,"Estimable"
"12_33-Parent BB Ent 8","23",7.35050969024353,0.854219847625917,"Estimable"
"12_33-Parent BB Ent 8","22",5.79533436006772,0.854339454531207,"Estimable"
"12_35-Parent BB Ent 8","23",10,0.854219847625917,"Estimable"
"12_35-Parent BB Ent 8","22",9.18949149120651,0.854339454531207,"Estimable"
"12_36-Parent BB Ent 8","23",8.78700396892679,0.854219847625917,"Estimable"
"12_36-Parent BB Ent 8","22",7.23182863875099,0.854339454531207,"Estimable"
