"Entry","Rep","predicted.value","std.error","status"
"BB14-8b","2",3.44199703475826,0.105063162994099,"Estimable"
"BB14-8b","3",3.85918325639243,0.103834919497567,"Estimable"
"BB14-8b","4",4.45275859600973,0.105151288459432,"Estimable"
"BB14-8b","5",2.50874422066879,0.169663189484597,"Estimable"
"BB14-9p","1",6.14634885534527,0.0767442144905619,"Estimable"
"BB14-9p","2",6.64453935783418,0.0756673160323543,"Estimable"
"BB14-9p","3",7.06172557946835,0.0763509974821363,"Estimable"
"BB14-9p","4",7.65530091908565,0.0763344878361091,"Estimable"
"BB14-9p","5",5.71128654374471,0.156653261764466,"Estimable"
"CT3-08","1",0.988870608296609,0.0734634511963363,"Estimable"
"CT3-08","2",1.48706111078552,0.0724232570436599,"Estimable"
"CT3-08","3",1.90424733241969,0.0735643404868256,"Estimable"
