"Entry","Rep","Site","predicted.value","std.error","status"
"BB14-3p","3","year23",82.898229065992,0.756376890373293,"Estimable"
"BB14-3p","4","year22",73.5740808500913,0.0678328837270349,"Estimable"
"BB14-3p","4","year23",90.2933933275737,0.744951645387992,"Estimable"
"BB14-3p","5","year22",54.1372368542411,0.152288822333387,"Estimable"
"BB14-3p","5","year23",78.352186381588,1.12782798611646,"Estimable"
"BB14-4b","1","year22",67.6854485663055,0.0696808678389337,"Estimable"
"BB14-4b","1","year23",77.761509414229,0.614889435768282,"Estimable"
"BB14-4b","2","year22",72.6672199529119,0.0690346911516141,"Estimable"
"BB14-4b","2","year23",83.1743077895309,0.610080930616523,"Estimable"
"BB14-4b","3","year22",76.8390109425251,0.069281591082762,"Estimable"
"BB14-4b","3","year23",82.9345699656826,0.613135845994592,"Estimable"
"BB14-4b","4","year22",82.7746612924813,0.0707916880615877,"Estimable"
"BB14-4b","4","year23",90.3297342272642,0.626359796865088,"Estimable"
"BB14-4b","5","year22",63.3378172966311,0.153552086220587,"Estimable"
"BB14-4b","5","year23",78.3885272812785,1.04792136728367,"Estimable"
"BB14-5p","1","year22",51.0947752317285,0.0758121073685758,"Estimable"
"BB14-5p","1","year23",62.3820817775619,0.678569857750476,"Estimable"
"BB14-5p","2","year22",56.0765466183349,0.0760787585688472,"Estimable"
"BB14-5p","2","year23",67.7948801528638,0.68353146031269,"Estimable"
"BB14-5p","3","year22",60.2483376079481,0.076328468523476,"Estimable"
"BB14-5p","3","year23",67.5551423290154,0.681855142200508,"Estimable"
"BB14-5p","4","year22",66.1839879579043,0.0768298322486516,"Estimable"
"BB14-5p","4","year23",74.9503065905971,0.684463956306025,"Estimable"
"BB14-5p","5","year22",46.7471439620541,0.15655932434843,"Estimable"
"BB14-5p","5","year23",63.0090996446113,1.06189535749653,"Estimable"
"BB14-6b","1","year22",58.5850488344369,0.0770893591303847,"Estimable"
"BB14-6b","1","year23",67.7315703272138,0.650448150785153,"Estimable"
"BB14-6b","2","year22",63.5668202210432,0.0769519693625648,"Estimable"
"BB14-6b","2","year23",73.1443687025158,0.650604726073941,"Estimable"
"BB14-6b","3","year22",67.7386112106565,0.0789815428885861,"Estimable"
"BB14-6b","3","year23",72.9046308786674,0.667349070370314,"Estimable"
"BB14-6b","4","year22",73.6742615606127,0.0795655748656626,"Estimable"
"BB14-6b","4","year23",80.299795140249,0.675673875510414,"Estimable"
"BB14-6b","5","year22",54.2374175647624,0.157493340365935,"Estimable"
"BB14-6b","5","year23",68.3585881942633,1.062854123779,"Estimable"
"BB14-7p","1","year22",26.4434165703759,0.0740931582531823,"Estimable"
"BB14-7p","1","year23",47.1781518117076,0.870933329761577,"Estimable"
"BB14-7p","2","year22",31.4251879569823,0.0734652249456062,"Estimable"
"BB14-7p","2","year23",52.5909501870096,0.856657027060212,"Estimable"
"BB14-7p","3","year22",35.5969789465955,0.0746061640117218,"Estimable"
"BB14-7p","3","year23",52.3512123631612,0.8875324480685,"Estimable"
"BB14-7p","4","year22",41.5326292965517,0.0756369598268057,"Estimable"
"BB14-7p","4","year23",59.7463766247428,0.899968757163227,"Estimable"
"BB14-7p","5","year22",22.0957853007015,0.155746570037869,"Estimable"
"BB14-7p","5","year23",47.8051696787571,1.20507796690639,"Estimable"
"BB14-8b","1","year22",29.438155445164,0.104240546693455,"Estimable"
"BB14-8b","1","year23",48.4322424436263,1.03474390969916,"Estimable"
"BB14-8b","2","year22",34.4199268317704,0.105063066015319,"Estimable"
"BB14-8b","2","year23",53.8450408189282,1.05383256325318,"Estimable"
"BB14-8b","3","year22",38.5917178213836,0.103834841771625,"Estimable"
"BB14-8b","3","year23",53.6053029950798,1.03689842340902,"Estimable"
"BB14-8b","4","year22",44.5273681713399,0.105151189406386,"Estimable"
"BB14-8b","4","year23",61.0004672566615,1.04854791222877,"Estimable"
"BB14-8b","5","year22",25.0905241754896,0.169648342126971,"Estimable"
"BB14-8b","5","year23",49.0592603106757,1.30110573992026,"Estimable"
"BB14-9p","1","year22",61.4636588677415,0.076744106596067,"Estimable"
"BB14-9p","1","year23",63.7027690004861,0.696016949938195,"Estimable"
"BB14-9p","2","year22",66.4454302543478,0.075667230250266,"Estimable"
"BB14-9p","2","year23",69.115567375788,0.682532143467746,"Estimable"
"BB14-9p","3","year22",70.6172212439611,0.0763508966911916,"Estimable"
"BB14-9p","3","year23",68.8758295519397,0.689839636923474,"Estimable"
"BB14-9p","4","year22",76.5528715939173,0.0763343794059222,"Estimable"
"BB14-9p","4","year23",76.2709938135213,0.687847956498626,"Estimable"
"BB14-9p","5","year22",57.116027598067,0.15663643735108,"Estimable"
"BB14-9p","5","year23",64.3297868675356,1.09266009557568,"Estimable"
"CT3-08","1","year22",9.88882940928262,0.0734633480456438,"Estimable"
"CT3-08","1","year23",20.1049147678256,0.694676771870404,"Estimable"
"CT3-08","2","year22",14.870600795889,0.0724231644525011,"Estimable"
"CT3-08","2","year23",25.5177131431275,0.685810949819642,"Estimable"
"CT3-08","3","year22",19.0423917855022,0.0735642263355056,"Estimable"
"CT3-08","3","year23",25.2779753192792,0.697795411484349,"Estimable"
"CT3-08","4","year22",24.9780421354585,0.0740763857344999,"Estimable"
"CT3-08","4","year23",32.6731395808608,0.695901525054637,"Estimable"
"CT3-08","5","year22",5.54119813960819,0.153814403448971,"Estimable"
"CT3-08","5","year23",20.731932634875,1.08270230836862,"Estimable"
"Vernal","1","year22",25.1100103581541,0.13776325630352,"Estimable"
"Vernal","1","year23",20.7672460014579,0.959128867630879,"Estimable"
"Vernal","2","year22",30.0917817447605,0.13984012332901,"Estimable"
"Vernal","2","year23",26.1800443767598,0.981651714281167,"Estimable"
"Vernal","3","year22",34.2635727343737,0.139732743572057,"Estimable"
"Vernal","3","year23",25.9403065529115,0.980301568007061,"Estimable"
"Vernal","4","year22",40.19922308433,0.138649037681743,"Estimable"
"Vernal","4","year23",33.3354708144931,0.969446900080072,"Estimable"
"Vernal","5","year22",20.7623790884797,0.0760799824356387,"Estimable"
"Vernal","5","year23",21.3942638685074,0.625359202961039,"Estimable"
